S.No,Month,Day ,Cases,Difference,Growth_Rate
1,Feb,15,3,3,NA
2,Feb,16,3,0,0
3,Feb,17,3,0,NA
4,Feb,18,3,0,NA
5,Feb,19,3,0,NA
6,Feb,20,3,0,NA
7,Feb,21,3,0,NA
8,Feb,22,3,0,NA
9,Feb,23,3,0,NA
10,Feb,24,3,0,NA
11,Feb,25,3,0,NA
12,Feb,26,3,0,NA
13,Feb,27,3,0,NA
14,Feb,28,3,0,NA
15,Feb,29,3,0,NA
16,Mar,1,3,0,NA
17,Mar,2,6,3,NA
18,Mar,3,7,1,0.33
19,Mar,4,29,22,22
20,Mar,5,30,1,0.04
21,Mar,6,31,1,1
22,Mar,7,34,3,3
23,Mar,8,40,6,2
24,Mar,9,47,7,1.16
25,Mar,10,62,15,2.14
26,Mar,11,62,0,0
27,Mar,12,74,8,NA
28,Mar,13,82,8,1
29,Mar,14,100,18,2.25
30,Mar,15,114,14,0.77
31,Mar,16,129,15,1.07
32,Mar,17,143,14,0.93
33,Mar,18,169,16,1.14
34,Mar,19,194,25,1.56
35,Mar,20,249,55,2.2
36,Mar,21,332,83,1.5
37,Mar,22,396,64,0.77
38,Mar,23,499,103,1.6
39,Mar,24,536,37,0.35
40,Mar,25,657,121,3.27
41,Mar,26,727,70,0.57
42,Mar,27,887,160,2.28
