Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,1/1/2020 1:00,2020,1,1,1,540.8,527,Hazardous,647,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 2:00,2020,1,1,2,608.4,571,Hazardous,676,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 3:00,2020,1,1,3,612.7,574,Hazardous,617,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 4:00,2020,1,1,4,555.4,536,Hazardous,498,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 5:00,2020,1,1,5,494.2,496,Hazardous,433,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 6:00,2020,1,1,6,429.1,453,Hazardous,364,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 7:00,2020,1,1,7,394,430,Hazardous,359,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 8:00,2020,1,1,8,390,427,Hazardous,386,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 9:00,2020,1,1,9,395.9,431,Hazardous,399,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 10:00,2020,1,1,10,420.8,447,Hazardous,449,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 11:00,2020,1,1,11,390.2,427,Hazardous,356,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 12:00,2020,1,1,12,298.4,348,Hazardous,208,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 13:00,2020,1,1,13,224.1,274,Very Unhealthy,150,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 14:00,2020,1,1,14,181,231,Very Unhealthy,138,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 15:00,2020,1,1,15,149.9,200,Unhealthy,119,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 16:00,2020,1,1,16,138.9,194,Unhealthy,128,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 17:00,2020,1,1,17,126.4,188,Unhealthy,114,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2020 18:00,2020,1,1,18,116.6,183,Unhealthy,107,UG/M3,1 Hr,Valid
