S.No,Month,Day ,Cases,Difference,Growth_Rate
1,Feb,15,28,NA,NA
2,Feb,16,29,1,NA
3,Feb,17,30,1,1
4,Feb,18,31,1,1
5,Feb,19,58,27,27
6,Feb,20,111,53,1.96
7,Feb,21,209,98,1.84
8,Feb,22,436,227,2.31
9,Feb,23,602,166,0.73
10,Feb,24,833,231,1.39
11,Feb,25,977,144,0.62
12,Feb,26,1261,284,1.97
13,Feb,27,1766,505,1.77
14,Feb,28,2337,571,1.13
15,Feb,29,3150,813,1.42
16,Mar,1,3736,586,0.72
17,Mar,2,4335,599,1.02
18,Mar,3,5186,851,1.42
19,Mar,4,5621,435,0.51
20,Mar,5,6284,663,1.52
21,Mar,6,6593,309,0.46
22,Mar,7,7041,448,1.44
23,Mar,8,7313,272,0.6
24,Mar,9,7478,165,0.6
25,Mar,10,7513,35,0.21
26,Mar,11,7755,242,6.91
27,Mar,12,7869,114,0.47
28,Mar,13,7979,110,0.96
29,Mar,14,8086,107,0.97
30,Mar,15,8162,76,0.71
31,Mar,16,8236,74,0.97
32,Mar,17,8320,84,1.13
33,Mar,18,8413,93,1.1
34,Mar,19,8565,152,1.63
35,Mar,20,8652,87,0.57
36,Mar,21,8799,147,1.68
37,Mar,22,8897,98,0.66
38,Mar,23,8961,64,0.65
39,Mar,24,9037,76,1.87
40,Mar,25,9137,100,1.31
41,Mar,26,9241,104,1.04
42,Mar,27,9332,91,0.87
